DATE,CPIAUCSL,CES4200000003
7/1/1964,31.02,
8/1/1964,31.05,
9/1/1964,31.08,
10/1/1964,31.12,
11/1/1964,31.21,
12/1/1964,31.25,
1/1/1965,31.28,
2/1/1965,31.28,
3/1/1965,31.31,
4/1/1965,31.38,
5/1/1965,31.48,
6/1/1965,31.61,
7/1/1965,31.58,
8/1/1965,31.55,
9/1/1965,31.62,
10/1/1965,31.65,
11/1/1965,31.75,
12/1/1965,31.85,
1/1/1966,31.88,
2/1/1966,32.08,
3/1/1966,32.18,
4/1/1966,32.28,
5/1/1966,32.35,
6/1/1966,32.38,
7/1/1966,32.45,
8/1/1966,32.65,
9/1/1966,32.75,
10/1/1966,32.85,
11/1/1966,32.88,
12/1/1966,32.92,
1/1/1967,32.9,
2/1/1967,33,
3/1/1967,33,
4/1/1967,33.1,
5/1/1967,33.1,
6/1/1967,33.3,
7/1/1967,33.4,
8/1/1967,33.5,
9/1/1967,33.6,
10/1/1967,33.7,
11/1/1967,33.9,
12/1/1967,34,
1/1/1968,34.1,
2/1/1968,34.2,
3/1/1968,34.3,
4/1/1968,34.4,
5/1/1968,34.5,
6/1/1968,34.7,
7/1/1968,34.9,
8/1/1968,35,
9/1/1968,35.1,
10/1/1968,35.3,
11/1/1968,35.4,
12/1/1968,35.6,
1/1/1969,35.7,
2/1/1969,35.8,
3/1/1969,36.1,
4/1/1969,36.3,
5/1/1969,36.4,
6/1/1969,36.6,
7/1/1969,36.8,
8/1/1969,36.9,
9/1/1969,37.1,
10/1/1969,37.3,
11/1/1969,37.5,
12/1/1969,37.7,
1/1/1970,37.9,
2/1/1970,38.1,
3/1/1970,38.3,
4/1/1970,38.5,
5/1/1970,38.6,
6/1/1970,38.8,
7/1/1970,38.9,
8/1/1970,39,
9/1/1970,39.2,
10/1/1970,39.4,
11/1/1970,39.6,
12/1/1970,39.8,
1/1/1971,39.9,
2/1/1971,39.9,
3/1/1971,40,
4/1/1971,40.1,
5/1/1971,40.3,
6/1/1971,40.5,
7/1/1971,40.6,
8/1/1971,40.7,
9/1/1971,40.8,
10/1/1971,40.9,
11/1/1971,41,
12/1/1971,41.1,
1/1/1972,41.2,
2/1/1972,41.4,
3/1/1972,41.4,
4/1/1972,41.5,
5/1/1972,41.6,
6/1/1972,41.7,
7/1/1972,41.8,
8/1/1972,41.9,
9/1/1972,42.1,
10/1/1972,42.2,
11/1/1972,42.4,
12/1/1972,42.5,
1/1/1973,42.7,
2/1/1973,43,
3/1/1973,43.4,
4/1/1973,43.7,
5/1/1973,43.9,
6/1/1973,44.2,
7/1/1973,44.2,
8/1/1973,45,
9/1/1973,45.2,
10/1/1973,45.6,
11/1/1973,45.9,
12/1/1973,46.3,
1/1/1974,46.8,
2/1/1974,47.3,
3/1/1974,47.8,
4/1/1974,48.1,
5/1/1974,48.6,
6/1/1974,49,
7/1/1974,49.3,
8/1/1974,49.9,
9/1/1974,50.6,
10/1/1974,51,
11/1/1974,51.5,
12/1/1974,51.9,
1/1/1975,52.3,
2/1/1975,52.6,
3/1/1975,52.8,
4/1/1975,53,
5/1/1975,53.1,
6/1/1975,53.5,
7/1/1975,54,
8/1/1975,54.2,
9/1/1975,54.6,
10/1/1975,54.9,
11/1/1975,55.3,
12/1/1975,55.6,
1/1/1976,55.8,
2/1/1976,55.9,
3/1/1976,56,
4/1/1976,56.1,
5/1/1976,56.4,
6/1/1976,56.7,
7/1/1976,57,
8/1/1976,57.3,
9/1/1976,57.6,
10/1/1976,57.9,
11/1/1976,58.1,
12/1/1976,58.4,
1/1/1977,58.7,
2/1/1977,59.3,
3/1/1977,59.6,
4/1/1977,60,
5/1/1977,60.2,
6/1/1977,60.5,
7/1/1977,60.8,
8/1/1977,61.1,
9/1/1977,61.3,
10/1/1977,61.6,
11/1/1977,62,
12/1/1977,62.3,
1/1/1978,62.7,
2/1/1978,63,
3/1/1978,63.4,
4/1/1978,63.9,
5/1/1978,64.5,
6/1/1978,65,
7/1/1978,65.5,
8/1/1978,65.9,
9/1/1978,66.5,
10/1/1978,67.1,
11/1/1978,67.5,
12/1/1978,67.9,
1/1/1979,68.5,
2/1/1979,69.2,
3/1/1979,69.9,
4/1/1979,70.6,
5/1/1979,71.4,
6/1/1979,72.2,
7/1/1979,73,
8/1/1979,73.7,
9/1/1979,74.4,
10/1/1979,75.2,
11/1/1979,76,
12/1/1979,76.9,
1/1/1980,78,
2/1/1980,79,
3/1/1980,80.1,
4/1/1980,80.9,
5/1/1980,81.7,
6/1/1980,82.5,
7/1/1980,82.6,
8/1/1980,83.2,
9/1/1980,83.9,
10/1/1980,84.7,
11/1/1980,85.6,
12/1/1980,86.4,
1/1/1981,87.2,
2/1/1981,88,
3/1/1981,88.6,
4/1/1981,89.1,
5/1/1981,89.7,
6/1/1981,90.5,
7/1/1981,91.5,
8/1/1981,92.2,
9/1/1981,93.1,
10/1/1981,93.4,
11/1/1981,93.8,
12/1/1981,94.1,
1/1/1982,94.4,
2/1/1982,94.7,
3/1/1982,94.7,
4/1/1982,95,
5/1/1982,95.9,
6/1/1982,97,
7/1/1982,97.5,
8/1/1982,97.7,
9/1/1982,97.7,
10/1/1982,98.1,
11/1/1982,98,
12/1/1982,97.7,
1/1/1983,97.9,
2/1/1983,98,
3/1/1983,98.1,
4/1/1983,98.8,
5/1/1983,99.2,
6/1/1983,99.4,
7/1/1983,99.8,
8/1/1983,100.1,
9/1/1983,100.4,
10/1/1983,100.8,
11/1/1983,101.1,
12/1/1983,101.4,
1/1/1984,102.1,
2/1/1984,102.6,
3/1/1984,102.9,
4/1/1984,103.3,
5/1/1984,103.5,
6/1/1984,103.7,
7/1/1984,104.1,
8/1/1984,104.4,
9/1/1984,104.7,
10/1/1984,105.1,
11/1/1984,105.3,
12/1/1984,105.5,
1/1/1985,105.7,
2/1/1985,106.3,
3/1/1985,106.8,
4/1/1985,107,
5/1/1985,107.2,
6/1/1985,107.5,
7/1/1985,107.7,
8/1/1985,107.9,
9/1/1985,108.1,
10/1/1985,108.5,
11/1/1985,109,
12/1/1985,109.5,
1/1/1986,109.9,
2/1/1986,109.7,
3/1/1986,109.1,
4/1/1986,108.7,
5/1/1986,109,
6/1/1986,109.4,
7/1/1986,109.5,
8/1/1986,109.6,
9/1/1986,110,
10/1/1986,110.2,
11/1/1986,110.4,
12/1/1986,110.8,
1/1/1987,111.4,
2/1/1987,111.8,
3/1/1987,112.2,
4/1/1987,112.7,
5/1/1987,113,
6/1/1987,113.5,
7/1/1987,113.8,
8/1/1987,114.3,
9/1/1987,114.7,
10/1/1987,115,
11/1/1987,115.4,
12/1/1987,115.6,
1/1/1988,116,
2/1/1988,116.2,
3/1/1988,116.5,
4/1/1988,117.2,
5/1/1988,117.5,
6/1/1988,118,
7/1/1988,118.5,
8/1/1988,119,
9/1/1988,119.5,
10/1/1988,119.9,
11/1/1988,120.3,
12/1/1988,120.7,
1/1/1989,121.2,
2/1/1989,121.6,
3/1/1989,122.2,
4/1/1989,123.1,
5/1/1989,123.7,
6/1/1989,124.1,
7/1/1989,124.5,
8/1/1989,124.5,
9/1/1989,124.8,
10/1/1989,125.4,
11/1/1989,125.9,
12/1/1989,126.3,
1/1/1990,127.5,
2/1/1990,128,
3/1/1990,128.6,
4/1/1990,128.9,
5/1/1990,129.1,
6/1/1990,129.9,
7/1/1990,130.5,
8/1/1990,131.6,
9/1/1990,132.5,
10/1/1990,133.4,
11/1/1990,133.7,
12/1/1990,134.2,
1/1/1991,134.7,
2/1/1991,134.8,
3/1/1991,134.8,
4/1/1991,135.1,
5/1/1991,135.6,
6/1/1991,136,
7/1/1991,136.2,
8/1/1991,136.6,
9/1/1991,137,
10/1/1991,137.2,
11/1/1991,137.8,
12/1/1991,138.2,
1/1/1992,138.3,
2/1/1992,138.6,
3/1/1992,139.1,
4/1/1992,139.4,
5/1/1992,139.7,
6/1/1992,140.1,
7/1/1992,140.5,
8/1/1992,140.8,
9/1/1992,141.1,
10/1/1992,141.7,
11/1/1992,142.1,
12/1/1992,142.3,
1/1/1993,142.8,
2/1/1993,143.1,
3/1/1993,143.3,
4/1/1993,143.8,
5/1/1993,144.2,
6/1/1993,144.3,
7/1/1993,144.5,
8/1/1993,144.8,
9/1/1993,145,
10/1/1993,145.6,
11/1/1993,146,
12/1/1993,146.3,
1/1/1994,146.3,
2/1/1994,146.7,
3/1/1994,147.1,
4/1/1994,147.2,
5/1/1994,147.5,
6/1/1994,147.9,
7/1/1994,148.4,
8/1/1994,149,
9/1/1994,149.3,
10/1/1994,149.4,
11/1/1994,149.8,
12/1/1994,150.1,
1/1/1995,150.5,
2/1/1995,150.9,
3/1/1995,151.2,
4/1/1995,151.8,
5/1/1995,152.1,
6/1/1995,152.4,
7/1/1995,152.6,
8/1/1995,152.9,
9/1/1995,153.1,
10/1/1995,153.5,
11/1/1995,153.7,
12/1/1995,153.9,
1/1/1996,154.7,
2/1/1996,155,
3/1/1996,155.5,
4/1/1996,156.1,
5/1/1996,156.4,
6/1/1996,156.7,
7/1/1996,157,
8/1/1996,157.2,
9/1/1996,157.7,
10/1/1996,158.2,
11/1/1996,158.7,
12/1/1996,159.1,
1/1/1997,159.4,
2/1/1997,159.7,
3/1/1997,159.8,
4/1/1997,159.9,
5/1/1997,159.9,
6/1/1997,160.2,
7/1/1997,160.4,
8/1/1997,160.8,
9/1/1997,161.2,
10/1/1997,161.5,
11/1/1997,161.7,
12/1/1997,161.8,
1/1/1998,162,
2/1/1998,162,
3/1/1998,162,
4/1/1998,162.2,
5/1/1998,162.6,
6/1/1998,162.8,
7/1/1998,163.2,
8/1/1998,163.4,
9/1/1998,163.5,
10/1/1998,163.9,
11/1/1998,164.1,
12/1/1998,164.4,
1/1/1999,164.7,
2/1/1999,164.7,
3/1/1999,164.8,
4/1/1999,165.9,
5/1/1999,166,
6/1/1999,166,
7/1/1999,166.7,
8/1/1999,167.1,
9/1/1999,167.8,
10/1/1999,168.1,
11/1/1999,168.4,
12/1/1999,168.8,
1/1/2000,169.3,
2/1/2000,170,
3/1/2000,171,
4/1/2000,170.9,
5/1/2000,171.2,
6/1/2000,172.2,
7/1/2000,172.7,
8/1/2000,172.7,
9/1/2000,173.6,
10/1/2000,173.9,
11/1/2000,174.2,
12/1/2000,174.6,
1/1/2001,175.6,
2/1/2001,176,
3/1/2001,176.1,
4/1/2001,176.4,
5/1/2001,177.3,
6/1/2001,177.7,
7/1/2001,177.4,
8/1/2001,177.4,
9/1/2001,178.1,
10/1/2001,177.6,
11/1/2001,177.5,
12/1/2001,177.4,
1/1/2002,177.7,
2/1/2002,178,
3/1/2002,178.5,
4/1/2002,179.3,
5/1/2002,179.5,
6/1/2002,179.6,
7/1/2002,180,
8/1/2002,180.5,
9/1/2002,180.8,
10/1/2002,181.2,
11/1/2002,181.5,
12/1/2002,181.8,
1/1/2003,182.6,
2/1/2003,183.6,
3/1/2003,183.9,
4/1/2003,183.2,
5/1/2003,182.9,
6/1/2003,183.1,
7/1/2003,183.7,
8/1/2003,184.5,
9/1/2003,185.1,
10/1/2003,184.9,
11/1/2003,185,
12/1/2003,185.5,
1/1/2004,186.3,
2/1/2004,186.7,
3/1/2004,187.1,
4/1/2004,187.4,
5/1/2004,188.2,
6/1/2004,188.9,
7/1/2004,189.1,
8/1/2004,189.2,
9/1/2004,189.8,
10/1/2004,190.8,
11/1/2004,191.7,
12/1/2004,191.7,
1/1/2005,191.6,
2/1/2005,192.4,
3/1/2005,193.1,
4/1/2005,193.7,
5/1/2005,193.6,
6/1/2005,193.7,
7/1/2005,194.9,
8/1/2005,196.1,
9/1/2005,198.8,
10/1/2005,199.1,
11/1/2005,198.1,
12/1/2005,198.1,
1/1/2006,199.3,
2/1/2006,199.4,
3/1/2006,199.7,15.24
4/1/2006,200.7,15.24
5/1/2006,201.3,15.17
6/1/2006,201.8,15.23
7/1/2006,202.9,15.2
8/1/2006,203.8,15.14
9/1/2006,202.8,15.1
10/1/2006,201.9,15.1
11/1/2006,202,15.08
12/1/2006,203.1,15.13
1/1/2007,203.437,15.12
2/1/2007,204.226,15.12
3/1/2007,205.288,15.09
4/1/2007,205.904,15.11
5/1/2007,206.755,15.08
6/1/2007,207.234,15.15
7/1/2007,207.603,15.08
8/1/2007,207.667,15.09
9/1/2007,208.547,15.09
10/1/2007,209.19,15.2
11/1/2007,210.834,15.15
12/1/2007,211.445,15.11
1/1/2008,212.174,15.1
2/1/2008,212.687,15.16
3/1/2008,213.448,15.15
4/1/2008,213.942,15.18
5/1/2008,215.208,15.23
6/1/2008,217.463,15.21
7/1/2008,219.016,15.22
8/1/2008,218.69,15.27
9/1/2008,218.877,15.25
10/1/2008,216.995,15.22
11/1/2008,213.153,15.26
12/1/2008,211.398,15.28
1/1/2009,211.933,15.29
2/1/2009,212.705,15.27
3/1/2009,212.495,15.33
4/1/2009,212.709,15.27
5/1/2009,213.022,15.36
6/1/2009,214.79,15.34
7/1/2009,214.726,15.38
8/1/2009,215.445,15.5
9/1/2009,215.861,15.48
10/1/2009,216.509,15.39
11/1/2009,217.234,15.44
12/1/2009,217.347,15.45
1/1/2010,217.488,15.48
2/1/2010,217.281,15.48
3/1/2010,217.353,15.53
4/1/2010,217.403,15.59
5/1/2010,217.29,15.48
6/1/2010,217.199,15.5
7/1/2010,217.605,15.57
8/1/2010,217.923,15.53
9/1/2010,218.275,15.57
10/1/2010,219.035,15.63
11/1/2010,219.59,15.62
12/1/2010,220.472,15.65
1/1/2011,221.187,15.7
2/1/2011,221.898,15.72
3/1/2011,223.046,15.71
4/1/2011,224.093,15.75
5/1/2011,224.806,15.81
6/1/2011,224.806,15.79
7/1/2011,225.395,15.97
8/1/2011,226.106,15.83
9/1/2011,226.597,15.8
10/1/2011,226.75,15.94
11/1/2011,227.169,16.02
12/1/2011,227.223,16.03
1/1/2012,227.842,16.02
2/1/2012,228.329,16.08
3/1/2012,228.807,16.09
4/1/2012,229.187,16.17
5/1/2012,228.713,16.2
6/1/2012,228.524,16.32
7/1/2012,228.59,16.32
8/1/2012,229.918,16.32
9/1/2012,231.015,16.38
10/1/2012,231.638,16.39
11/1/2012,231.249,16.34
12/1/2012,231.221,16.5
1/1/2013,231.679,16.52
2/1/2013,232.937,16.52
3/1/2013,232.282,16.56
4/1/2013,231.797,16.57
5/1/2013,231.893,16.56
6/1/2013,232.445,16.61
7/1/2013,232.9,16.6
8/1/2013,233.456,16.69
9/1/2013,233.544,16.65
10/1/2013,233.669,16.67
11/1/2013,234.1,16.67
12/1/2013,234.719,16.67
1/1/2014,235.288,16.74
2/1/2014,235.547,16.81
3/1/2014,236.028,16.89
4/1/2014,236.468,16.94
5/1/2014,236.918,16.97
6/1/2014,237.231,17.01
7/1/2014,237.498,17.03
8/1/2014,237.46,17.04
9/1/2014,237.477,17.05
10/1/2014,237.43,17.07
11/1/2014,236.983,17.17
12/1/2014,236.252,17.03
1/1/2015,234.747,17.31
2/1/2015,235.342,17.33
3/1/2015,235.976,17.28
4/1/2015,236.222,17.36
5/1/2015,237.001,17.39
6/1/2015,237.657,17.41
7/1/2015,238.034,17.49
8/1/2015,238.033,17.55
9/1/2015,237.498,17.64
10/1/2015,237.733,17.68
11/1/2015,238.017,17.68
12/1/2015,237.761,17.7
1/1/2016,237.652,17.72
2/1/2016,237.336,17.73
3/1/2016,238.08,17.79
4/1/2016,238.992,17.79
5/1/2016,239.557,17.82
6/1/2016,240.222,17.89
7/1/2016,240.101,17.86
8/1/2016,240.545,17.89
9/1/2016,241.176,17.89
10/1/2016,241.741,17.94
11/1/2016,242.026,18.05
12/1/2016,242.637,17.9
1/1/2017,243.618,17.98
2/1/2017,244.006,17.99
3/1/2017,243.892,18
4/1/2017,244.193,18.02
5/1/2017,244.004,18.11
6/1/2017,244.163,18.12
7/1/2017,244.243,18.17
8/1/2017,245.183,18.25
9/1/2017,246.435,18.21
10/1/2017,246.626,18.23
11/1/2017,247.284,18.24
12/1/2017,247.805,18.28
1/1/2018,248.859,18.4
2/1/2018,249.529,18.44
3/1/2018,249.577,18.49
4/1/2018,250.227,18.6
5/1/2018,250.792,18.69
6/1/2018,251.018,18.64
7/1/2018,251.214,18.73
8/1/2018,251.663,18.83
9/1/2018,252.182,18.93
10/1/2018,252.772,19.04
11/1/2018,252.594,19.07
12/1/2018,252.767,19.25
1/1/2019,252.561,19.33
2/1/2019,253.319,19.4
3/1/2019,254.277,19.42
4/1/2019,255.233,19.47
5/1/2019,255.296,19.45
6/1/2019,255.213,19.61
7/1/2019,255.802,19.7
8/1/2019,256.036,19.77
9/1/2019,256.43,19.83
10/1/2019,257.155,19.89
11/1/2019,257.879,20
12/1/2019,258.63,20.03
1/1/2020,258.906,20.12
2/1/2020,259.246,20.21
3/1/2020,258.15,20.36
4/1/2020,256.126,21.07
5/1/2020,255.848,20.65
6/1/2020,257.004,20.59
7/1/2020,258.408,20.95
8/1/2020,259.366,21.12
9/1/2020,259.951,21.32
10/1/2020,260.249,21.11
11/1/2020,260.895,21.18
12/1/2020,262.005,21.35
1/1/2021,262.518,21.34
2/1/2021,263.583,21.2
3/1/2021,264.91,21.39
4/1/2021,266.752,21.56
5/1/2021,268.452,21.79
6/1/2021,270.664,21.92
7/1/2021,271.994,21.93
8/1/2021,272.789,22
9/1/2021,273.887,22.17
10/1/2021,276.434,22.3
11/1/2021,278.799,22.35
12/1/2021,280.808,22.5
1/1/2022,282.39,22.59
2/1/2022,284.535,22.61
3/1/2022,287.553,22.79
4/1/2022,288.764,22.74
5/1/2022,291.359,22.82
6/1/2022,294.996,22.9
7/1/2022,294.977,23.06
8/1/2022,295.209,23.11
9/1/2022,296.341,23.15
10/1/2022,297.863,23.35
11/1/2022,298.648,23.49
12/1/2022,298.812,23.47
1/1/2023,300.356,23.56
2/1/2023,301.509,23.77
3/1/2023,301.744,23.67
4/1/2023,303.032,23.8
5/1/2023,303.365,23.78
6/1/2023,304.003,23.89
7/1/2023,304.628,23.94
8/1/2023,306.187,24.02
9/1/2023,307.288,24.1
10/1/2023,307.531,24.08
11/1/2023,308.024,24.1
12/1/2023,308.742,24.25
1/1/2024,309.685,24.24
2/1/2024,311.054,24.33
